id,name,category,regency,rating,totalRatings,priceLevel,Price
282,"Pemulan Bali Farm Cooking School, Ubud",tourist_attraction,Kabupaten Gianyar,5.0,3210,,50000
283,Wana Ayu Jelijah,park,Kabupaten Gianyar,4.9,174,,Free
284,The Sukarno Center,museum,Kabupaten Gianyar,4.6,452,,50000
285,Mason Elephant Park & Lodge,zoo,Kabupaten Gianyar,4.0,5014,,350000
286,U Fun Field- Swing zipline & more,amusement_park,Kabupaten Gianyar,4.7,1274,,350000
287,Nungnung Waterfall,waterfall,Kabupaten Badung,4.8,950,,25000
288,Manuaba Waterfall,waterfall,Kabupaten Gianyar,4.8,1683,,25000
290,Maniq Restaurant | 12+,traditional dance,Kabupaten Gianyar,4.7,82,,150000
291,Vanara Restaurant,traditional dance,Kabupaten Gianyar,4.9,59,,150000
293,Great Mosque Tabanan,tourist_attraction,Kabupaten Tabanan,4.8,796,,50000
294,Belimbing Rice Terraces,tourist_attraction,Kabupaten Tabanan,4.7,684,,50000
295,Alas Kedaton,park,Kabupaten Tabanan,4.2,2662,,30000
296,Tanah Lot,tourist_attraction,Kabupaten Tabanan,4.6,102433,,60000
297,Taman Ayun Temple,tourist_attraction,Kabupaten Badung,4.6,9828,,50000
298,Tabanan Anom Palace,museum,Kabupaten Tabanan,4.8,907,,50000
299,Subak Museum,museum,Kabupaten Tabanan,4.2,371,,50000
300,Objek Wisata Sangeh,zoo,Kabupaten Badung,4.6,166,,350000
302,Umadhatu Resort,amusement_park,Kabupaten Tabanan,4.3,846,,350000
303,Alam Tirta Outbound,amusement_park,Kabupaten Badung,4.4,578,,350000
304,"LUMBUNGASRI | Puri Lumbung Waterpark, restaurant & cottage Managed by GHAYATRI Management",amusement_park,Kabupaten Badung,3.9,334,1.0,350000
305,Leke Leke Waterfall,waterfall,Kabupaten Tabanan,4.5,3522,,25000
306,Pengempu Waterfall,waterfall,Kabupaten Tabanan,4.2,820,,25000
307,Kecak Dance Tanah Lot,kecak,Kabupaten Tabanan,4.6,83,,150000
308,Kecak Pura Puseh Batubulan,kecak,Kabupaten Gianyar,4.8,41,,150000
309,Taman Anyar - Traditional Balinese House,traditional dance,Kabupaten Badung,4.8,174,,150000
